mol_smi,bbs_smi
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(-c2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(-c2ccccc2)c1
COc1cccc(OC)c1[C@@H]1C[C@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1C[C@H](C)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(C)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1ccc2cc(CN3C(=O)CCC[C@H]3c3c(OC)cccc3OC)ccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2cc(OC)ccc2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cc2ccccc2n1C,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cc2ccccc2n1C
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(OC(F)(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(OC(F)(F)F)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1ccc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1ccc2ccccc2c1
COc1cccc(OC)c1[C@@H]1C[C@@H](Cl)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@@]([H])(Cl)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1C[C@H](OC)C(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cccc1OC.[*][C@]1([H])C[C@]([H])(OC)C(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cnc(OC(F)F)c(Cl)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cnc(OC(F)F)c(Cl)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc2sccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc2sccc2c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(OC(F)F)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(OC(F)F)c1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1cccc(Oc2ccccc2)c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1cccc(Oc2ccccc2)c1
COc1cccc(OC)c1[C@@H]1CCC(=O)N1Cc1cnc2ccccc2c1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCC(=O)N1[*].[*]Cc1cnc2ccccc2c1
COc1cc(Cl)cc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)(F)F)cc1,[*]c1c(OC)cc(Cl)cc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)(F)F)cc1
COc1cccc(OC)c1[C@@H]1CCCC(=O)N1Cc1ccc(OC(F)F)cn1,[*]c1c(OC)cccc1OC.[*][C@]1([H])CCCC(=O)N1[*].[*]Cc1ccc(OC(F)F)cn1
